species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-000001,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,acacia acacia pennatula,Acacia Acacia pennatula,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,SNIB,SNIB/CONABIO valid taxonomy:acacia acacia pennatula,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC) (En IUCN Red List 2025-1 como Vachellia pennatula (ver relaciones de sinonimia).),,,,,,source_authority_resolved,source_traceable
SP-000002,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,acanthocereus acanthocereus tetragonus,Acanthocereus Acanthocereus tetragonus,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Acanthocereus,SNIB,SNIB/CONABIO valid taxonomy:acanthocereus acanthocereus tetragonus,8,7,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC),"Apéndice II (Publicado en CITES 2022 como Acanthocereus baxaniensis, Acanthocereus horridus, Acanthocereus occidentalis, Acanthocereus subinermis y Acanthocereus tetragonus (ver relaciones de sinonimia). Todos en apénidice II.)",,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000003,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,acanthocereus tetragonus,Acanthocereus tetragonus,species,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Acanthocereus,GBIF; Naturalista,GBIF Backbone:3084455.0; Naturalista/iNaturalist taxonomy:157908,11,10,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx; Insumos/APFF Playa Delfines/PlayaDelfines_Naturalista.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000004,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,acanthophora acanthophora spicifera,Acanthophora Acanthophora spicifera,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Acanthophora,SNIB,SNIB/CONABIO valid taxonomy:acanthophora acanthophora spicifera,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,,,,,Criptogénica-Invasora,,source_authority_resolved,source_traceable
SP-000005,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,acromyrmex,Acromyrmex,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,Naturalista,Naturalista/iNaturalist taxonomy:50162,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000006,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,actitis actitis macularius,Actitis Actitis macularius,species,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,SNIB,SNIB/CONABIO valid taxonomy:actitis actitis macularius,41,34,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC),,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000007,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,actitis macularius,Actitis macularius,SPECIES,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,GBIF,GBIF Backbone:2481798.0,22,16,Insumos/APFF Playa Delfines/PlayaDelfines_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000008,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,aedes taeniorhynchus,Aedes taeniorhynchus,species,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,Naturalista,Naturalista/iNaturalist taxonomy:1112134,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000009,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,agaricomycetes,Agaricomycetes,,Fungi,Basidiomycota,Agaricomycetes,,,,Naturalista,Naturalista/iNaturalist taxonomy:50814,1,1,Insumos/APFF Playa Delfines/PlayaDelfines_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000010,APFFPD,Área de Protección de Flora y Fauna Playa Delfines,agelaius agelaius phoeniceus,Agelaius Agelaius phoeniceus,species,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,SNIB,SNIB/CONABIO valid taxonomy:agelaius agelaius phoeniceus,3,3,Insumos/APFF Playa Delfines/PlayaDelfines_SNIB.xlsx,,Preocupación menor (LC),,,,,,source_authority_resolved,source_traceable
