species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-000711,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,aaptos aaptos duchassaingi,Aaptos Aaptos duchassaingi,species,Animalia,Porifera,Demospongiae,Hadromerida,Suberitidae,Aaptos,SNIB,SNIB/CONABIO valid taxonomy:aaptos aaptos duchassaingi,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000712,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,aaptos duchassaingi,Aaptos duchassaingi,SPECIES,Animalia,Porifera,Demospongiae,Suberitida,Suberitidae,Aaptos,GBIF; OBIS,GBIF Backbone:2251121.0; WoRMS/OBIS:170734,2,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000713,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ablennes ablennes hians,Ablennes Ablennes hians,species,Animalia,Chordata,Actinopteri,Beloniformes,Belonidae,Ablennes,SNIB,SNIB/CONABIO valid taxonomy:ablennes ablennes hians,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,Preocupación menor (LC),,,,,,source_authority_resolved,source_traceable
SP-000714,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,ablennes hians,Ablennes hians,Species,Animalia,Chordata,Teleostei,Beloniformes,Belonidae,Ablennes,GBIF; OBIS,GBIF Backbone:2369165.0; WoRMS/OBIS:159246,4,4,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000715,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,abra,Abra,,Animalia,Mollusca,Bivalvia,Venerida,Semelidae,Abra,SNIB,SNIB/CONABIO valid taxonomy:abra,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000716,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,abra aequalis,Abra aequalis,SPECIES,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,GBIF,GBIF Backbone:5189059.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000717,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,abudefduf abudefduf saxatilis,Abudefduf Abudefduf saxatilis,species,Animalia,Chordata,Actinopteri,Blenniiformes,Pomacentridae,Abudefduf,SNIB,SNIB/CONABIO valid taxonomy:abudefduf abudefduf saxatilis,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,Preocupación menor (LC),,,,,,source_authority_resolved,source_traceable
SP-000718,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,abudefduf saxatilis,Abudefduf saxatilis,SPECIES,Animalia,Chordata,,Perciformes,Pomacentridae,Abudefduf,GBIF,GBIF Backbone:2398623.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000719,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,abyla abyla trigona,Abyla Abyla trigona,species,Animalia,Cnidaria,Hydrozoa,Calycophorae,Abylidae,Abyla,SNIB,SNIB/CONABIO valid taxonomy:abyla abyla trigona,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000720,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,abyla trigona,Abyla trigona,SPECIES,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abyla,GBIF,GBIF Backbone:2264928.0,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000721,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,abylopsis abylopsis eschscholtzi,Abylopsis Abylopsis eschscholtzi,species,Animalia,Cnidaria,Hydrozoa,Calycophorae,Abylidae,Abylopsis,SNIB,SNIB/CONABIO valid taxonomy:abylopsis abylopsis eschscholtzi,14,14,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000722,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,abylopsis abylopsis tetragona,Abylopsis Abylopsis tetragona,species,Animalia,Cnidaria,Hydrozoa,Calycophorae,Abylidae,Abylopsis,SNIB,SNIB/CONABIO valid taxonomy:abylopsis abylopsis tetragona,7,7,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000723,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,abylopsis eschscholtzii,Abylopsis eschscholtzii,SPECIES,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abylopsis,GBIF,GBIF Backbone:8202890.0,11,11,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000724,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,abylopsis tetragona,Abylopsis tetragona,SPECIES,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abylopsis,GBIF,GBIF Backbone:2264942.0,7,7,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000725,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthemblemaria,Acanthemblemaria,Genus,Animalia,Chordata,Teleostei,Blenniiformes,Chaenopsidae,Acanthemblemaria,OBIS,WoRMS/OBIS:254882,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000726,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthemblemaria aspera,Acanthemblemaria aspera,Species,Animalia,Chordata,Teleostei,Blenniiformes,Chaenopsidae,Acanthemblemaria,OBIS,WoRMS/OBIS:279443,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000727,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthilia acanthilia intermedia,Acanthilia Acanthilia intermedia,species,Animalia,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Acanthilia,SNIB,SNIB/CONABIO valid taxonomy:acanthilia acanthilia intermedia,2,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000728,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthilia intermedia,Acanthilia intermedia,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Acanthilia,GBIF,GBIF Backbone:2221818.0,3,3,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000729,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthochiasma,Acanthochiasma,Genus,Chromista,No Asignado,Acantharia,Arthracanthida,Acanthochiasmidae,Acanthochiasma,OBIS; SNIB,WoRMS/OBIS:368427; SNIB/CONABIO valid taxonomy:acanthochiasma,6,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000730,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthochiasma krohn 1861,"Acanthochiasma Krohn, 1861",GENUS,Protozoa,,Acantharia,Arthracanthida,Acanthochiasmidae,Acanthochiasma,GBIF,GBIF Backbone:8149514.0,3,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000731,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthochitona,Acanthochitona,Genus,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,OBIS,WoRMS/OBIS:137613,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000732,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthochitona acanthochitona andersoni,Acanthochitona Acanthochitona andersoni,species,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,SNIB,SNIB/CONABIO valid taxonomy:acanthochitona acanthochitona andersoni,2,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000733,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthochitona acanthochitona hemphilli,Acanthochitona Acanthochitona hemphilli,species,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,SNIB,SNIB/CONABIO valid taxonomy:acanthochitona acanthochitona hemphilli,10,8,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000734,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthochitona acanthochitona pygmaea,Acanthochitona Acanthochitona pygmaea,species,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,SNIB,SNIB/CONABIO valid taxonomy:acanthochitona acanthochitona pygmaea,1,1,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000735,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthochitona acanthochitona zebra,Acanthochitona Acanthochitona zebra,species,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,SNIB,SNIB/CONABIO valid taxonomy:acanthochitona acanthochitona zebra,2,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-000736,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthochitona hemphilli,Acanthochitona hemphilli,SPECIES,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,GBIF; OBIS,GBIF Backbone:2305918.0; WoRMS/OBIS:386489,29,17,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-000737,PNAGMS,Parque Nacional Arrecifes del Golfo de México-Sur,acanthochitona pygmaea,Acanthochitona pygmaea,SPECIES,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,GBIF; OBIS,GBIF Backbone:2305917.0; WoRMS/OBIS:386508,3,2,Insumos/PN Arrecifes del GMS/ArrecifesGMS_GBIF.xlsx; Insumos/PN Arrecifes del GMS/ArrecifesGMS_OBIS.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
