species_uid,anp_code,anp_name,accepted_name_norm,accepted_scientific_name,taxon_rank,kingdom,phylum,class_name,order_name,family,genus,source_systems,authority_ids,source_record_count,deduped_occurrence_count,source_files,nom059,iucn,cites,priority_species,endemicity,invasive_exotic,quality_flags,taxonomic_resolution_status,traceability_status
SP-006487,RBBK,Reserva de la Biosfera Balam Kú,abaeis abaeis boisduvaliana,Abaeis Abaeis boisduvaliana,,,,,,Pieridae,Abaeis,SNIB,SNIB/CONABIO valid taxonomy:abaeis abaeis boisduvaliana,1,1,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006488,RBBK,Reserva de la Biosfera Balam Kú,abaeis abaeis nicippe,Abaeis Abaeis nicippe,species,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Abaeis,SNIB,SNIB/CONABIO valid taxonomy:abaeis abaeis nicippe,8,2,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,Preocupación menor (LC),,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006489,RBBK,Reserva de la Biosfera Balam Kú,abaeis boisduvaliana,Abaeis boisduvaliana,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Abaeis,GBIF,GBIF Backbone:12236627.0,1,1,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006490,RBBK,Reserva de la Biosfera Balam Kú,abaeis nicippe,Abaeis nicippe,SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Abaeis,GBIF,GBIF Backbone:1920621.0,10,4,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006491,RBBK,Reserva de la Biosfera Balam Kú,abracris,Abracris,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,Naturalista,Naturalista/iNaturalist taxonomy:119628.0,1,1,Insumos/RB Balam Kú/BalamKu_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006492,RBBK,Reserva de la Biosfera Balam Kú,abundisporus,Abundisporus,,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,,Naturalista,Naturalista/iNaturalist taxonomy:895524.0,1,1,Insumos/RB Balam Kú/BalamKu_Naturalista.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006493,RBBK,Reserva de la Biosfera Balam Kú,abutilon abutilon permolle,Abutilon Abutilon permolle,species,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,SNIB,SNIB/CONABIO valid taxonomy:abutilon abutilon permolle,3,3,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,,,,,,,source_authority_resolved,source_traceable
SP-006494,RBBK,Reserva de la Biosfera Balam Kú,abutilon permolle,Abutilon permolle,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,GBIF,GBIF Backbone:3152600.0,5,3,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006495,RBBK,Reserva de la Biosfera Balam Kú,abutilon viscosum,Abutilon viscosum,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,GBIF,GBIF Backbone:7744393.0,6,4,Insumos/RB Balam Kú/BalamKu_GBIF.xlsx,,,,,,,possible_cross_source_duplicate,source_authority_resolved,source_traceable
SP-006496,RBBK,Reserva de la Biosfera Balam Kú,acacia acacia centralis,Acacia Acacia centralis,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,SNIB,SNIB/CONABIO valid taxonomy:acacia acacia centralis,6,6,Insumos/RB Balam Kú/BalamKu_SNIB.xlsx,,Preocupación menor (LC) (En IUCN Red List 2025-1 como Mariosousa centralis (ver relaciones de sinonimia).),,,,,,source_authority_resolved,source_traceable
